school_name,school_level,class_code,campus_id,address,city,state,zip,Basement,Floor 1,Floor 2,Floor 3,Floor 4,Floor 5,uploaded,source_file,notes,longitude,latitude,in_survey_dropdown
NORMAN-SIMS,Elementary School,ELEM,150,4001 TANNEHILL LANE,AUSTIN,TX,78721,,NORMAN-SIMS ES.svg,,,,,,,,-97.67392936299996,30.27836370700004,yes
NORTHEAST/INTERNATIONAL,High School,HIGH,006,7104 BERKMAN DRIVE,AUSTIN,TX,78752,,NORTHEAST/INTERNATIONAL HS.svg,,,,,,,,-97.69116423799994,30.32414424900003,yes
O HENRY,Middle School,MID,047,2610 W. 10TH STREET,AUSTIN,TX,78735,,O HENRY MS.svg,,,,,,,,-97.77415032799996,30.28572810700007,yes
OAK HILL,Elementary School,ELEM,148,6101 PATTON RANCH ROAD,AUSTIN,TX,78735,,OAK HILL ES.svg,,,,,,,,-97.85885327999995,30.238107798000048,yes
OAK SPRINGS,Elementary School,ELEM,125,3601 WEBBERVILLE ROAD,AUSTIN,TX,78702,,OAK SPRINGS ES.svg,,,,,,,,-97.70459452699998,30.271792072000043,yes
ODOM,Elementary School,ELEM,156,1010 TURTLE CREEK BLVD.,AUSTIN,TX,78745,,ODOM ES.svg,,,,,,,,-97.78932538,30.20589298800007,yes
ORTEGA,Elementary School,ELEM,126,1135 GARLAND AVE.,AUSTIN,TX,78721,,ORTEGA ES.svg,,,,,,,,-97.68432567099995,30.270011177000075,yes
OVERTON,Elementary School,ELEM,189,7201 COLONY LOOP DRIVE,AUSTIN,TX,78724,,OVERTON ES.svg,,,,,,,,-97.63618889099996,30.30024080000004,yes
PAC,District Facility,DISTRICT,954,1500 BARBARA JORDAN BLVD,AUSTIN,TX,78723,,PAC DIST.svg,,,,,,,,-97.7030195022779,30.30425939635535,yes
PADRON,Elementary School,ELEM,188,2011 W. RUNDBERG LANE,AUSTIN,TX,78758,,PADRON ES.svg,,,,,,,,-97.71993987499997,30.373261972000023,yes
PALM,Elementary School,ELEM,171,7601 DIXIE DRIVE,AUSTIN,TX,78744,,PALM ES.svg,,,,,,,,-97.74388371099997,30.16485937400006,yes
PAREDES,Middle School,MID,061,10100 S. MARY MOORE SEARIGHT DRIVE,AUSTIN,TX,78748,,PAREDES MS.svg,,,,,,,,-97.81145710499999,30.16706875100004,yes
PATTON,Elementary School,ELEM,143,6001 WESTCREEK DRIVE,AUSTIN,TX,78749,,PATTON ES.svg,,,,,,,,-97.84533344999994,30.23173056300004,yes
PECAN SPRINGS,Elementary School,ELEM,129,3100 ROGGE LANE,AUSTIN,TX,78723,,PECAN SPRINGS ES.svg,,,,,,,,-97.67680769199997,30.303025046000077,yes
PEREZ,Elementary School,ELEM,190,7500 S. PLEASANT VALLEY ROAD,AUSTIN,TX,78744,,PEREZ ES.svg,,,,,,,,-97.75630334499999,30.17048121900007,yes
PICKLE,Elementary School,ELEM,164,1101 WHEATLEY AVE.,AUSTIN,TX,78752,,PICKLE ES.svg,,,,,,,,-97.69382678799997,30.333081363000073,yes
PILLOW,Elementary School,ELEM,151,3025 CROSSCREEK DRIVE,AUSTIN,TX,78757,,PILLOW ES.svg,,,,,,,,-97.73314285799995,30.36915891900003,yes
PLEASANT HILL,Elementary School,ELEM,130,6405 CIRCLE S ROAD,AUSTIN,TX,78745,,PLEASANT HILL ES.svg,,,,,,,,-97.77619528099996,30.19638805600005,yes
REILLY,Elementary School,ELEM,132,405 DENSON DRIVE,AUSTIN,TX,78752,,REILLY ES.svg,,,,,,,,-97.719958524,30.32823751500007,yes
RICHARDS SYWL,High School,HIGH,028,2206 PRATHER LANE,AUSTIN,TX,78704,,RICHARDS SYWL HS.svg,,,,,,,,-97.78886641099996,30.236865354000035,yes
RIDGETOP,Elementary School,ELEM,133,5005 CASWELL AVE.,AUSTIN,TX,78751,,RIDGETOP ES.svg,,,,,,,,-97.71628793699995,30.31198485500005,yes
RODRIGUEZ,Elementary School,ELEM,174,4400 FRANKLIN PARK DRIVE,AUSTIN,TX,78744,,RODRIGUEZ ES.svg,,,,,,,,-97.74733982899994,30.200691326000026,yes
ROSEDALE,Alternative Education,ALT ED 1,251,2608 RICH CREEK,AUSTIN,TX,78757,,ROSEDALE ALT.svg,,,,,,,,-97.73725184499995,30.352738924000054,yes
SADLER MEANS,Middle School,MID,065,6401 N. HAMPTON DRIVE,AUSTIN,TX,78723,,SADLER MEANS MS.svg,,,,,,,,-97.68048358099999,30.31369700700003,yes
SAEGERT BUS,District Facility,DISTRICT,960,3300 JONES ROAD,AUSTIN,TX,78745,,SAEGERT BUS DIST.svg,,,,,,,,-97.81251673238776,30.231387137889,yes
SANCHEZ,Elementary School,ELEM,127,73 SAN MARCOS STREET,AUSTIN,TX,78702,,SANCHEZ ES.svg,,,,,,,,-97.73518828899995,30.258074459000056,yes
SERVICE CENTER,District Facility,DISTRICT,962,5101 E 51ST STREET,AUSTIN,TX,78723,,SERVICE CENTER DIST.svg,,,,,,,,-97.67323729498862,30.29280925512528,yes
SITE 903,District Facility,DISTRICT,903,3100 4TH STREET,AUSTIN,TX,78702,,SITE 903 DIST.svg,,,,,,,,-97.70809009099997,30.254773847000024,yes
